Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
sidewalk,Arbuz Cafe,1706,Brooklyn,11235,"1706  Sheepshead Bay Rd, Brooklyn, NY",40.585724,-73.951767
roadway,Nerai,55,Manhattan,10022,"55 East 54th Street, Manhattan, NY",40.760117,-73.973162
roadway,Hill Country,30,Manhattan,10010,"30  West 26th, Manhattan, NY",,
both,Sundays Well,360,Manhattan,10016,"360  3rd Ave, Manhattan, NY",40.740892,-73.981657
roadway,"Le Baba Cool, Inc",64,Brooklyn,11217,"64 Lafayette AVe, Brooklyn, NY",40.687102,-73.975365
sidewalk,Moot Bar,579,Brooklyn,11205,"579 Myrtle Avenue, Brooklyn, NY",40.694037,-73.960956
sidewalk,Rollin Greens,247-77,Queens,11426,"247-77 Jamaica Avenue, Queens, NY",40.725853,-73.71902
both,Liberty Tavern,382-384,Staten Island,10301,"382-384 forest ave, Staten Island, NY",40.630989,-74.102119
both,Sweet Chili,1045,Brooklyn,11237,"1045 flushing avenue, Brooklyn, NY",40.704008,-73.930575
both,101 cafe restaurant,98-05,Queens,11416,"98-05  101 ave , Queens, NY",40.685071,-73.843201
sidewalk,mangia,7517 -19,Staten Island,10307,"7517 -19 amboy roaf, Staten Island, NY",,
roadway,Khe-Yo,157,Manhattan,10013,"157 Duane St., Manhattan, NY",40.716761,-74.008744
both,Viva Viva,34-10,Queens,11103,"34-10  30th Ave, Queens, NY",40.76568,-73.918818
sidewalk,The Watershed,517,Brooklyn,11231,"517  Court Street, Brooklyn, NY",40.675102,-73.999387
sidewalk,Maya Taqueria,168,Brooklyn,11217,"168 5th Avenue, Brooklyn, NY",40.677589,-73.979674
sidewalk,The Stonewall Inn,51-53,Manhattan,10014,"51-53 Christopher, Manhattan, NY",,
both,Aunt Jake's,133,Manhattan,10013,"133 Mulberry Street, Manhattan, NY",40.718455,-73.99776
roadway,NINOS Aq,3501,Queens,11105,"3501 Ditmara, Queens, NY",,
both,POSITANO,10018,Brooklyn,11209,"10018  4TH AVENUE, Brooklyn, NY",40.612526,-74.033925
sidewalk,Landline,790,Brooklyn,11211,"790 Grand Street, Brooklyn, NY",40.711858,-73.941605
roadway,Ovelia Restaurant,3401,Queens,11103,"3401  30th ave, Queens, NY",40.765721,-73.918861
sidewalk,North Square Restaurant,103,Manhattan,10011,"103 Waverly Place, Manhattan, NY",40.73236,-73.998889
both,Holy Schnitzel,7222,Queens,11367,"7222 Main Street, Queens, NY",40.726085,-73.821537
both,HiHi Room,138,Brooklyn,11231,"138  Smith Street, Brooklyn, NY",40.687024,-73.990275
sidewalk,Mary's Fish Camp,246,Manhattan,10014,"246 West 4th Street, Manhattan, NY",40.734734,-74.003118
